Plot,Tree_no,RECRUIT,Species,InitialDbh,RefPoint,Critx,Crity,OffsetN,OffsetE,Dist,Azimuth,AzgridN,Treex,Treey,TrtgridN,X_Offset,Y_Offset,X_Corrected,Y_Corrected,Initial_MeasNum,Initial_TreeClass,Initial_LoggingStatus,Coords_Calculation_Date,MapInfoNeeded,Comments
805,2047,0,TSHE,1,F6,100,40,0,0,6.6,204,310,93.65,38.18,40,210,-270,171.82,-176.35,1,10,PRE,2003-04-04 00:00:00,No,
805,2048,0,TSHE,0.5,F6,100,40,0,0,5.7,217,310,94.31,39.7,40,210,-270,170.3,-175.69,1,10,PRE,2003-04-04 00:00:00,No,
805,2049,0,TSHE,1.3,F6,100,40,0,0,5.3,199,310,95.05,38.1,40,210,-270,171.9,-174.95,1,10,PRE,2003-04-04 00:00:00,No,
805,2050,0,TSHE,0.5,F6,100,40,0,0,5.8,197,310,94.66,37.73,40,210,-270,172.27,-175.34,1,10,PRE,2003-04-04 00:00:00,No,
805,2051,0,TSHE,0.4,F6,100,40,0,0,7,200,310,93.42,37.61,40,210,-270,172.39,-176.58,1,10,PRE,2003-04-04 00:00:00,No,
805,2052,0,TSHE,0.6,F6,100,40,0,0,7.3,191,310,93.61,36.46,40,210,-270,173.54,-176.39,1,10,PRE,2003-04-04 00:00:00,No,
805,2053,0,TSHE,0.1,F6,100,40,0,0,7,191,310,93.88,36.61,40,210,-270,173.39,-176.12,1,10,PRE,2003-04-04 00:00:00,No,
805,2054,0,TSHE,0.1,F6,100,40,0,0,6.9,185,310,94.35,36.04,40,210,-270,173.96,-175.65,1,10,PRE,2003-04-04 00:00:00,No,
805,2055,0,TSHE,0.1,F6,100,40,0,0,5.8,189,310,95.03,37.01,40,210,-270,172.99,-174.97,1,10,PRE,2003-04-04 00:00:00,No,
805,2056,0,PSME,45.2,F6,100,40,0,0,6.2,152,310,97.59,34.04,40,210,-270,175.96,-172.41,1,10,PRE,2003-04-04 00:00:00,No,
805,2057,0,TSHE,0.1,F6,100,40,0,0,7.1,159,310,96.56,33.79,40,210,-270,176.21,-173.44,1,10,PRE,2003-04-04 00:00:00,No,
805,2058,0,TSHE,0.1,F6,100,40,0,0,6.9,180,310,94.71,35.56,40,210,-270,174.44,-175.29,1,10,PRE,2003-04-04 00:00:00,No,
805,2059,0,TSHE,0.6,F6,100,40,0,0,7.8,183,310,93.77,35.3,40,210,-270,174.7,-176.23,1,10,PRE,2003-04-04 00:00:00,No,
805,2060,0,TSHE,1.9,F6,100,40,0,0,7.8,178,310,94.2,34.77,40,210,-270,175.23,-175.8,1,10,PRE,2003-04-04 00:00:00,No,
805,2061,0,TSHE,0.6,F6,100,40,0,0,8.9,175,310,93.7,33.7,40,210,-270,176.3,-176.3,1,10,PRE,2003-04-04 00:00:00,No,
805,2062,0,PSME,43.7,F6,100,40,0,0,9.4,186,310,92.03,34.62,40,210,-270,175.38,-177.97,1,10,PRE,2003-04-04 00:00:00,No,
805,2063,0,TSHE,3.1,F6,100,40,0,0,11.9,182,310,90.61,32.66,40,210,-270,177.34,-179.39,1,10,PRE,2003-04-04 00:00:00,No,
